TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1051853.4017,12087.49,5275.54,-4742.19,11334.71,27919.92,4187.01,12303.4,17461.97
1051853.4057,12085.96,5264.28,-4759.31,11336.66,28004.46,4499.87,12797.88,17583.18
1051853.4097,12113.52,5319.31,-4718.07,11355.78,27954.15,4306.84,12592.27,17481.14
1051853.4137,12125.35,5347.2,-4692.13,11362.22,27895.12,4038.95,12192.44,17340.71
1051853.4177,12112.09,5307.72,-4718.02,11361.46,27938.51,4162.12,12260.06,17392.54
1051853.4216,12099.08,5283.55,-4738.43,11368.23,28042.46,4504.82,12781.86,17533.16
1051853.4256,12104.13,5309.01,-4731.46,11359.36,28006.7,4393.96,12710.62,17471.6
1051853.4296,12114.43,5338.62,-4714.11,11348.01,27926.02,4083.44,12274.17,17314.67
1051853.4336,12105.99,5310.77,-4731.94,11340.57,27936.6,4123.88,12240.79,17309.14
1051853.4376,12094.07,5269.91,-4755.45,11346.72,28034.5,4471.59,12734.32,17435.36
1051853.4416,12137.41,5336.57,-4695.37,11394.22,28057.29,4492.43,12845.71,17449.67
1051853.4456,12180.62,5413.06,-4633.52,11426.74,27991.87,4193.21,12427.24,17319.16
1051853.4496,12090.78,5315.21,-4724.41,11347.39,27879.58,4058.6,12186.48,17198.14
1051853.4536,12064.03,5257.46,-4777.29,11315.78,27957.16,4376.56,12607.72,17325.07
1051853.4576,12082.15,5289.94,-4752.26,11329.84,27972.37,4462.39,12817.29,17336.56
1051853.4616,12121.39,5353.45,-4701.09,11357.12,27884.63,4151.15,12377.55,17182.54
1051853.4656,12111.9,5328.32,-4726.93,11332.94,27849.73,4026.22,12142.99,17094.52
1051853.4696,12120.39,5316.16,-4719.78,11375.62,27951.67,4332.83,12502.34,17216.4
1051853.4736,12133.41,5338.19,-4710.25,11388.78,28006.18,4519.08,12851.34,17284.2
1051853.4776,12156.25,5378.87,-4684.31,11382.2,27906.85,4194.31,12444.55,17108.87
1051853.4816,12167.69,5390.79,-4670.48,11382.58,27862.36,4008.96,12132.69,17001.06
1051853.4856,12139.7,5330.56,-4706.67,11380.63,27932.17,4248.52,12381.36,17083.55
1051853.4896,12130.31,5317.59,-4723.88,11374.24,28027.39,4526.81,12849.19,17195.27
1051853.4936,12126.97,5343.34,-4710.25,11358.17,27924.06,4240.27,12493.09,17030.62
1051853.4976,12144.23,5365.99,-4690.12,11357.26,27866.8,3997.99,12105.42,16913.94
1051853.5016,12107.09,5300.86,-4743.72,11329.56,27909.62,4154.02,12236.31,16943.74
1051853.5056,12102.99,5285.88,-4758.45,11338.28,28007.94,4475.88,12708.76,17048.98
1051853.5096,12093.83,5297.57,-4759.5,11323.12,27936.32,4255.72,12467.81,16896.68
1051853.5136,12077.95,5290.56,-4767.85,11294.41,27825.31,3911.26,11969.9,16653.21
1051853.5176,12082.29,5269.43,-4777.77,11305.76,27878.81,4029.56,12010.24,16625.84
1051853.5216,12082.96,5250.65,-4781.72,11334.13,27974.94,4371.55,12473.01,16733.65
1051853.5256,12091.92,5278.54,-4756.36,11347.1,27919.58,4235.89,12329.72,16637.8
1051853.5296,12138.42,5339.91,-4698.09,11387.59,27837.42,3886.32,11777.21,16464.14
1051853.5336,12107.56,5282.93,-4747.11,11349.54,27810.15,3859.47,11608.98,16416.93
1051853.5376,12077.29,5222.99,-4800.08,11330.03,27890.64,4186.11,12032.89,16541.1
1051853.5416,12081.05,5249.17,-4783.34,11330.42,27872.99,4194.16,12134.7,16547.16
1051853.5456,12128.64,5318.64,-4728.84,11346.58,27799.04,3890.56,11741.54,16411.21
1051853.5495,12088.35,5282.5,-4759.69,11318.35,27781.59,3866.39,11675.41,16387.04
1051853.5535,12103.37,5281.07,-4757.69,11346.77,27921.78,4286.43,12237.41,16619.26
1051853.5575,12111.38,5304.0,-4749.39,11346.25,27954.53,4423.71,12558.41,16713.76
1051853.5615,12096.45,5316.64,-4754.11,11310.24,27826.5,4084.3,12138.13,16602.38
1051853.5655,12107.04,5327.18,-4742.0,11313.77,27805.71,3987.12,11977.96,16584.16
1051853.5695,12084.96,5282.12,-4769.99,11315.3,27903.66,4319.24,12402.25,16780.9
1051853.5735,12087.63,5300.0,-4756.12,11327.32,27979.52,4563.33,12842.18,16969.97
1051853.5775,12120.68,5360.65,-4704.24,11351.59,27900.65,4259.49,12476.54,16875.98
1051853.5815,12129.12,5370.67,-4693.6,11352.54,27857.45,4078.53,12188.2,16817.0
1051853.5855,12150.96,5364.47,-4689.5,11389.26,27969.55,4379.13,12510.35,16997.96
1051853.5895,12103.8,5317.83,-4749.49,11334.28,28021.15,4646.97,12982.08,17144.97
1051853.5935,12112.67,5355.64,-4713.06,11345.29,27954.2,4409.17,12678.29,17105.72
1051853.5975,12120.58,5376.39,-4692.7,11345.44,27897.03,4157.35,12304.16,17007.54
1051853.6015,12072.95,5297.76,-4761.55,11297.42,27902.7,4271.22,12402.35,17025.14
1051853.6055,12073.38,5283.83,-4778.05,11296.46,28008.8,4621.94,12941.74,17214.97
